id,question,answer
1146,MO 《2008年 IS 规则》对普通千散货船稳性要求有哪些？,"1初稳性高度 GM 应不小于 0.15
2复原力臂曲线在横倾角0到 30度之间所围面积应不小于 0.055m. rad
3复原力臂曲线在横倾角 。到 40 度或进水角中较小者之间所围的面积应不小于 0.090m. rad
4 复原力臂曲线在横倾角 30 度到 40度或进水角中较小者之间所围的面积不应小于0. 030m. rad
5 横倾角 30度处的复原力饼应不小于 0.20m
6最大复原力臂对应角不小于 25度
7满足天气衡准要求"
1147,简述临界稳性高度和极限重心高度的定义及其应用。,"临界稳性高度（船舶最小许用初稳性高度）Glc 是指怡能同时满足船舶完整稳性全部指标的最低要求时，对船舶初稳性高度的最低限定值。极限重心高度（船舶许用重心高度)KGc 是指恰能同时满足船舶完整稳性全部指标的
最低要求时，对船舶重心高度的最高限定值。
应用：借助此类资料，在校核船舶稳性时，只需计算经自由液面修正后的初稳性高度或重可浸长度：船舶进水后的水线恰与限界线相切时的船舱最大许可舱长称为可浸长度;分舱因数：为便于体现对各类船舶抗沉性方面的要求不同，需要引入一个等于或小于 1.0的表征抗沉性要求的系数，称为分舱因数：
许可舱长：指实际的可浸长度与分舱因数的乘积"
1148,船舶进水舱室分几类，它们有哪些主要区别？,"第一类舱：进水舱被灌满，其舱顶位于水线一下且未破损。
第二类舱：进水舱未被灌满，舱内外水不相联通
第三类舱：舱顶位于水线以上，舱内外水相联通"
1149,船体强度的概念是什么？有哪些分类？,"船体强度是指为了保证船舶安全，船体结构必须具有的抵抗各种内外作用力不使之发生极度变形和破坏的能力。
分类：总强度和局部强度：总强度又分为纵向强度，横向强度和扭转强度"
1150,船体横剖面上的切力和弯矩是如何产生的？分别使船体产生怎样的变形？其大小受什么限制？,①如果船体纵向坐标位× 的横剖面一侧载荷分布曲线下的面积代数和不等于零，就意味着该侧所受的重力和浮力总数不相等。为了维持平衡，该侧船体必然收到来自另一侧船体的作用力，这一作用力就是通过横剖面的船体纵向有效构件传递的内力-切力。②如果纵坐标为x 的剖面一侧载荷曲线下的面积对该剖面所取的面积静矩之代数和不心高度一项直播安，省去了需要回执船舶敬文星或动稳性曲线的麻烦，从而可以大大简化稳性的校核过程
1151,如何用简洁方法判断一艘船舶的稳性是否满足《法定规则》 的要求？详见 P101,要求同时满足：经自由液面修正 GM>=GMc+0.2 和末经自由液面修正 GMO<=GM17 日 =9s.
1152,舱壁甲板：滲透率：限界线：,指船舶水密横舱壁上达的最高一层甲板：当船舱进水后，其实际进水体积 V1 总要小于空舱的型体积 V，两者之比称为在舱壁甲板边线以下76m（即 3in）处所绘的一条曲线称为安全限界线：
1153,船体纵向强度条件的校核方法有哪些？,"1许用切力和许用弯矩：船舶设计部根据各剖面的实际尺度及其布局和使用材料，据《规范》推算出船舶各个横剖面上正、负两个方向上最大允许的静水切力和静水弯矩，作为该剖面的许用切力和许用弯矩，供船舶装载时校核强度条件之用。
2)计算并校核各横剖面的静水切力和静水弯矩。帆船长不小于 90 米且裝载不均匀，或船长不小于 90米且有2道级舱壁的船舶均应进行静水切力校核。3）船中静水弯矩估算法。原理：将船体中横剖面允许承受的最大静水弯矩 Ms 作为校核船舶总纵弯矩的衡准并与船舶该航次实际装载时作用于船体的静水弯矩 Ms’作比较。当/Ms'/三Ms 时，总纵强度不受损伤：当/Ms/>Ms 时，总纵强度不满足要求：当Ms'>0 时,船舶成中拱状态;当 Ms'<0 时，船舶成中垂状态。
4）强度曲线图及其数值表5）船舶总强度电算校核方法。还用计算机对船体n 个横剖面进行校核中第i个剖面的切力、弯矩和扭矩的校核指标分别为第面实际所受切力RSFx1000第劑面最大允许切力RBM,=第阔面实际所受弯矩第面实际所受扭矩=第面最大允许弯矩×100%: RTM,第剂面最大元许扣知 ×100%若同时满足，RSF,RBN,.RTM,≤100%(i=12.….1), 则表明船休受力满足总纵疆度和扭转强度条件，6）满足纵强度条件的经验积载方法。7）根据实际吃水判断船舶的总总弯曲变形。船中平均吃水donin 大于首尾平均吃水船舶处于中垂变形状态：船中平均吃水小于首尾平均吃水，船舶处于中拱变形状态。8）用主机气缸曲拐开档差值校验拱垂变形。"
1154,船体总纵弯曲变形的大小受哪些因素影响？实际生产中可采取哪些措施减缓这一变形？,"船体总纵弯曲变形受油水及货物的纵向分布等因素的影响，可通过船体总体布置来分析这种影响冷藏舱。
1)对于舯机船通过以下方式消除影响。货物配置、油水配置及使用、正确使用深舱和艉机船。合理安排压载水、油水分配与使用。"
1155,螺旋桨的进速与船速有什么区别？,"因螺旋桨有船体伴流影响，进速""4 应小于船速 Vs."
1156,船体和螺旋桨之间各有什么影响？,"船体对螺旋桨推力的影响一伴流影响。伴流分布：沿船体前后方向，船首最小、船尾最大，离船体越远，伴流越小；船尾处沿螺旋桨的径向，上大下小，左右对称船速与螺旋桨进速V=V(-0）
伴流对提高螺旋桨推力是个有利因素；有明显减小，从而降低兴波阻力。"
1157,阻力全相似定律及傅汝德假设的内容是什么？为何实船与船模无法做到全相似？,阻力全相似定律：船模与实船几何相似且雷诺数 Rn 和傅汝德数 Fn 均相等时，两者的基本阻力Co 相等。傅汝德假设：工基本阻力Ro 和摩擦阻力和剩余阻力组成2船体的摩擦阻力等于相当平板的摩擦阻力。了剩余阻力系数 Cr 处理为仅与傅汝德数有关．淡水与海水的运动黏性系数相差甚微，无法满足雷诺数和傅汝德数均相等，且船模试验池液体的丫无法实现远小于水，所以实船与船模无法做到全相似。
1158,何为船舶失速？为何船在风浪航行时不计算其阻力，而变为考忠失速？,船舶在风浪中航行时，若主机发出的功率不交，由于汹涛阻力的的存在使其船速低于静水船速，其较之静水中的船速的降低值为失速。汹涛阻力一般与船舶纵摇和升沉运动以及与波浪的的相位关系有关，一般不能准确方便得出汹涛阻力而转为由失速即降低值简单清楚得出船舶航行主机需要的储备功率
1159,浅水航行为何会增加阻力和吃水？,在浅水中，河床与船底之间距离很小，即水流过水断面很小，船底的流速明显增加，因而压强降低，船体下沉，吃水增加。其增加的程度与航道水深及船舶航速有关。因船底边界层自首向后逐渐增加，船尾富余水深（船底与河床之间的余量）减小，常会产生尾倾，此时，船体周国的水流因空间受限，水流加快，船体下沉，吃水增加，纵倾加大，因而摩擦阻力增加：此外，浅水航行时，兴波阻力增加，船尾涡流增大，涡流阻力增大：所以船舶总体阻力增大。
1160,螺旋桨是如何产生推力的？为什么在正车等转速条件下，系泊时的推力要大于航行时的推力？,系泊时，有中后机船。减轻压载状态的中拱变形，同艉机船空船压载状态一致。
1161,"船体局部强度的概念是什么？不同情况下,船体局部强度分别用什么指标表示？其含义和所使用的船舶裝载状况是什么？","船体结构必须具有抵抗在局部外力作用下产生的局部极度变形或损坏的能力，这种能力就是船体局部强度。表示指标：1）均布载荷。指船舶不同载货部位单位面积允许承受的最大重量。2）集中载荷。指某一特定面积上允许承受的最大重量。
3）车辆甲板载荷。指在舱盖、甲板或舱内装载车辆或使用车辆装卸货时，甲板、舱盖或内底板允许承受的以特定车轮数目为前提的车辆及所载货物的总重量．4）堆积载荷。指集装箱船的甲板、舱盖或舱底上不同的 20 英尺或 40 英尺集装箱底座所能承受的最大重量，"
1162,什么是快速性？如何改善快速性？,船舶快速性是指在给定主机功率下船舶的直线均速航行的性能。为了提高船舶的快速性，一方面应尽力降低流体对船舶的阻力，另一方面则应尽可能提高船舶的推进系数。
1163,船舶阻力由哪几个部分组成？其中基本阳力按其产生的原因不同，可分为哪三部分？,实际应用中船舶阻力分为基本阻力和附加阻力两部分。基本阻力按阻力产生原因不同可分为摩擦阻力：压差阻力，通常称为剩余阻力，根据其不同特点分为黏性压差阻力（涡流阻力)，兴波压差阻力（兴波阻力）。
1164,摩擦阻力的成因是什么？如何减小摩擦阻力？,水是具有黏性的液体，船舶在水中运动时，作用在整个船体湿面积S上所受切应力沿艏艉向的分力即为摩擦阻力。摩擦阻力的大小，除了与水的黏性有关外，主要与船体水下湿表面积的大小、船体表面的光滑程度（称为粗糙度）和船的航速大小有关。船体与水接触的面积越大、船体表面越粗糙、船舶航行速度越高，摩擦阻力就越大。减小摩擦阻力就是在相同排水量的情况下设法减小船体的湿表面积，例如：定期进行检修，清除污底，重新油漆船壳等。
1165,涡流阻力的成因是什么？如何减小涡流阻力？,有船体尾部产生游涡导致压力降低所致，涡流阻力主要与船舶水下部分（主要是尾部）形状及航速有关，航速一定时形状其决定作用，增加船舶的长宽比，即船型瘦长时，涡流阻力可以减小。
1166,兴波阻力的成因是什么？如何减小兴波阻力？,船体水下做成流线型减少附体阻力：减少受风面积、上层建筑前段设计成流线型、后端成阶梯状且尽可能低而长来减少空气阻力：通过定期进坞清除污底，外层加涂防污漆来减少污低阻力。减缓船舶纵摇和升沉运动减小汹涛阻力；减小吃水与水深比（d/h），降低船速来减少浅水附体阻力。
1167,4)球身艏为何能降低阻力？,在航行时，由球鼻艄所产生的波浪与船体所兴起的艄横波发生有利干扰，可减小兴波阻力。即当球鼻兴波的波谷和船首波的波峰处于相同位置，使合成波的波高较原来船首波的波高螺旋桨对船体的影响一推力减额。船尾螺旋染工作时，其产生的水流柱，引起船体尾部沆速加快，压强降低，从而使船体阻力产生增值，这部分增加的阻力称为阻力增额。计算时常处理为推力减额
1168,船舶主机功率和有效功率之间有何关系？,有效功率P：与主机机器功率 Ps之比称为推进系数，该值约为0.5~0.7。这就是说，主机发出功率变为船舶推进有效功率后己损失了将近一半.
1169,什么是空泡现象？空泡产生的条件是什么？,一阶段空泡为开始阶段，当叶背某处的压力降低至该水温下的汽化压力时，该点的水质就会首先形成空泡，因此时的空泡只占据叶面的一小部分，称局部空泡•当局部空泡形成后，随着螺施桨的转动及水流的沖刷，空泡产生位置会进行后移，进入了压强大于汽化压力的场所，空泡受压直接产生破裂，瞬间的破裂可对染面产生很大的冲击力.第二阶段空泡：随着来流速度的提高，若螺旋桨在运动过程中，叶背的负压力不仅继续增加，而且范围也有所扩大，在叶背某点先前产生的局部空泡，此时尽管由于水流的流刷而后移，但后移区域的压力条件呢任然适合空泡产生和存在，于是局部空泡就在叶背宽度方向逐渐扩展，可达60%°70%叶背面积，从而形成空泡.危害：瞬间的空泡破裂会使桨叶表面金属材料受到剥蚀而遭损坏，减小了桨叶断面面积，降低了螺旋桨的强度．片空泡产生后，局部空泡的剥蚀现象开始消失转而使螺旋桨叶背的大部分或全部被笼罩，使螺旋桨的水动力特性恶化，影响螺旋桨的效率，
1170,延缓或避免空泡现象的产生有哪些方法？,"要避免产生桨叶切面发生空泡，应设法减小减压系数或增加空泡数。
(1）减小减压系数的措施有：1，增加螺旋桨的盘面比：2，采用圆背式（ 型）叶剖面：3,减小螺距。（2）增加空泡数的措施有：1，增加螺旋桨的浸沉深度：2，降低螺旋桨的转速。"
1171,什么是船舶的耐波性？船舶摇荡有哪几种形式？有何危害？,耐波性是船舶在风浪海况下的航行性能。船舶有6个自由度的运动，分别为级荡，横荡，垂荡，橫摇，纵摇，艏摇。船舶在海上激烈颠簸和摇摆，会使船舶稳性交坏，降低航速，甲板上浪，损坏船体结构。造成货损，引起旅客头量和影响船员工作等，严重时还会在波浪中谐摇，危及船舶安全。
1172,船舶在静水中无阻横摇与有阻横摇的规律是什么？有何联系？,船舶在静水中无阻横摇条件下，船舶橫摇呈初始摆幅6的有始无终的余弦曲线。必领给船一个初始撰幅日才能使船摇摆起来，一旦己经摇摆起来，因无阻尼，则横摇将有始无 终。船舶在静水中有阻横摇条件 下，船舶横摇呈初始摆幅6且有始有终衰减的余弦曲线。两则的区别;(1）运动方程或横摇曲线仅相差ew，前者为有始无终，后者为有始有终；(2)可以认为工，二工。。对于静水横摇：要满足摇幅的微小性，其途径在于增大阻尼力矩系GMe数n：要满足周期的缓慢性，对于给定的船舶，其途径主要在于降低稳性高度
1173,什么叫自由摇摆周期，它与初稳性高度有何关系？,工为船舶静水无阻横摇的周期，也称为自由横摇周期。船舶自正浮横倾至一舷的倾角称为一个摆幅 0，四个摆幅称为一个全摆程，一个全摆程所需的时间称为一个周期。与GM 成J.反比，GM越大，工a越小•关系公式工。=ZI=2TNAS.GM
1174,船舶在波浪中横摇的特点是什么？,1)船随波横平衡。2)船发生随遇平衡
1175,船舶在航行中产生谐摇的条件是什么？有何危害？,危害：横摇角度将越摇越大，导致船舶倾覆，严重威胁船舶安全
1176,船舶有哪些减摇装置、各有什么特点？,5)常见的有，舭龙骨，减摇鳍，减摇水舱，回转仪等。舭龙骨能增加阻力力矩。其优点不占用船内空间，结构简单，费用低，有一定的减摇效果。缺点，增加了船舶航行的附体阻力，装在船体外面容易损坏，在低速船舶上应用较多。他是被动式水动力减摇装置。2减摇鳍安装在船体内部，可以从两侧伸出船外并转动角度的减摇装置。他是一种主动式减摇装置，通过自动控制来调节鳍的冲角，使之产生和波浪扰洞力矩相反的力矩，以便对船舶横摇起阻力力矩，到达减小摆幅的目的。各种波浪都可以使用，高速船效果比较好，低速较差。3减摇水舱，是分别设在船舶两舷的水舱，船舶摇摆时，水仓里的水也相符流动，他的运动正好落后于波浪振荡 180*相位，则水仓内的水的流动所造成的稳定力矩与波浪倾侧力矩正好相反，因而具有减摇作用。有主动式与被动式之分。减摇水仓的流动周期必须与船舶的自由摇摆周期相等.4回转稳定减摇装置是根据回转仪的原理设计制造的减摇装置。其原理。当回转仪高速旋转时，如受外加力发生倾斜，其产生的旋转力矩会是他回到原来的位置。优点是减摇效果甚佳，并在各种情况下能有效的减摇，而且摇摆越剧烈，效果越好。
1177,在船体总纵弯曲计算中，计算总纵剪力及弯矩的步骤和基本公式是什么?,answer示例
1178,在船体总纵弯曲计算中重量的分类及分布原则是什么?,answer示例
1179,试推导在两个及三个站距内如何分布局部重量。,answer示例
1180,空船重量曲线有哪几种计算绘制方法?试推导梯形重量分布的计算公式。,answer示例
1181,波浪浮力曲线需要史密斯修正吗?为什么?,answer示例
1182,船体构件稳定性计算中，横骨架式舷顶列板和组合梁稳定性计算时，其边界条件应如何简化?,answer示例
1183,经典弹性理论的基本假定有哪些?试推导平面应力问题的平衡方程和几何方程。,answer示例
1184,考虑船体构件的多重作用，纵向构件根据其传递载荷过程中所产生的应力种类及数目可以分为哪几类?,answer示例
1185,对长大开口船舶的强度计算，国内外对其理论研究的进展情况如何?,answer示例
1186,翘曲应力如何产生的?其沿船长方向有何分布规律?,answer示例
1187,规定的扭矩强度计算的标准状态是什么?,answer示例
1188,双杆作业时有哪些需要注意的？,answer示例
1189,船舶分类方法主要有哪几种？,answer示例
1190,船舶的主要尺度有哪些？,answer示例
1191,设计水线的定义？,answer示例
1192,垂线间长的定义？,answer示例
1193,船型系数有哪些？,answer示例
1194,船体线型图是有哪三个图组成的？,answer示例
1195,船体线型图的表示方法是什么？,answer示例
1196,什么叫船体线型图？,answer示例
1197,船舶首部形状主要有哪几种形状？,answer示例
1198,说明空载排水量是指什么？,answer示例
1199,说明满载排水量是指什么？,answer示例
1200,船舶性能具体指船舶哪些性能?,answer示例
1201,何谓储备浮力？,answer示例
1202,船舶浮性的原理是什么？,answer示例
1203,船舶正浮是的含义是什么/,answer示例
1204,船舶稳性的含义是什么?,answer示例
1205,如何提高船舶的稳性？,answer示例
1206,船舶抗沉性的基本原理是什么？,answer示例
1207,如何提高船舶的抗沉性？,answer示例
1208,船舶的阻力包括哪些？,answer示例
1209,怎样才能有效的减少水的阻力？,answer示例
1210,怎样才能提高船舶的快速性？,answer示例
1211,船舶的摇摆有哪几种形式？,answer示例
1212,怎样减少船舶的摇摆？,answer示例
1213,船舶的操纵性包括哪些方面？,answer示例
1214,船体结构形式有哪几种?,answer示例
1215,船底结构有哪几种形式？,answer示例
1216,肋板结构有哪几种形式？,answer示例
1217,舷侧骨架有哪几种形式？,answer示例
1218,甲板骨架有哪几种形式？,answer示例
1219,首部，尾部结构为何要加强？如何加强？,answer示例
1220,舵设备由哪些部分组成？,answer示例
1221,锚泊设备由哪些部分组成？,answer示例
1222,系泊设备由哪些部分组成？,answer示例
1223,船舶系统主要指哪些系统？,answer示例
1224,船体放样和号料有哪几种方法？,answer示例
1225,船体构件加工方法有哪几种？,answer示例
1226,船体分段划分时要考虑哪些主要因素？,answer示例
1227,常见的船台装配方法有哪几种？,answer示例
1228,船舶下水有哪些方法？,answer示例
1229,什么是船舶的浮性?,answer示例
1230,什么是静水力曲线?其使用条件是什么?包括哪些曲线?怎样用静水力曲线查某一吃水时的排水量和浮心位置?,answer示例
1231,什么是漂心7有何作用?平行沉浮的条件是什么?,answer示例
1232,什么是TPC?其使用条件如何?有何用途?,answer示例
1233,什么是船舶的稳性?,answer示例
1234,船舶的稳性分为哪几类?,answer示例
1235,什么是初稳性?其稳心特点是什么?浮心运动轨迹如何?,answer示例
1236,什么是稳心半径?与吃水是何关系?,answer示例
1237,什么是初稳性高度GM?有何意义?影响GM的因素有哪些?从出发港到目的港整个航行过程中有多少个GM?,answer示例
1238,什么是大倾角稳性?其稳心有何特点?,answer示例
1239,什么是静稳性曲线?有哪些特征参数?,answer示例
1240,什么是自由液面?其对稳性有何影响?减小其影响采取的措施有哪些?,answer示例
1241,自由液面对稳性的影响与哪些因素有关?,answer示例
1242,提高船舶稳性的措施有哪些?,answer示例
1243,什么是船舶的抗沉性?,answer示例
1244,船体破损浸水的三种情况是什么?哪种情况对船舶的危害最大?,answer示例
1245,什么是船舶的操纵性?船舶的操纵性包括哪些内容?,answer示例
1246,什么叫渗透率?渗透率大小对船舶有何影响?,answer示例
1247,为什么悬挂重物对初稳性会产生不利影响?,answer示例
1248,什么是安全限界线?有何作用?,answer示例
1249,船舶的摇荡运动有哪几种?,answer示例
1250,按舵杆中心线位置分类有几种舵?并比较它们的优缺点。,answer示例
1251,影响航速的因素有哪些,排水量。主尺度及船型系数。船体型线。动力装置。纵倾。潜水影响。污底。风及汹涛阻力
1252,什么是船舶稳性？,船舶稳性是指受外力作用离开平衡位置而倾斜，当外力消除后能自行回复到原来平衡位置的能力。
1253,船舶设计中的稳性问题包括那些方面？,"有三方面：
外力和内力，以及它们的计算方法
稳性衡准，即判断船舶平安与否的一种度量
影响稳性的因素分析，如何保证船舶有足够的稳性"
1254,在设计初始阶段初稳性不满足要求如何解决？,"适当增加压在水数量
调整各舱装载重量
调整总布置
调整B或BT"
1255,常用的船体型线的生成方法有哪几种？,"优秀母型船改造。
电子计算机生成型线。
船模系列资料。"
1256,船舶航行时一般保持什么状态,尾倾状态
1257,船舶的固定压载是指什么,固定压载是固定加在船上的载荷，通常采用生铁块、水泥块和矿渣块，一般在船下水前后放在船底部1固定压载的目的是降低船舶的重心以提高稳性；增加船舶重量以加大吃水；必要时用来调整船舶的浮态。
1258,船舶纵倾调整有哪些措施,"①改变双层底以上舱室的相互位置；
②改变双层底以上舱室的相互位置：
③适当移动机舱位置；
④设置首部平衡空舱或深压载水舱；
⑤改变浮心位置"
1259,平均吃水的含义是什么？其大小受哪些因数的影响,"船舶处于实际纵横倾或者存在船体变形状况下船舶的排水体积与某吃水下船舶正浮且无船
体变形状况下的船舶的排水体积一样时，那么该吃水值就为船舶的平均吃水。
跟不同船舶的浮态对应的首尾和船中吃水以及吃水差有关，同时还和漂心距中距离有关"
1260,船舶稳性的分类有哪些？,"1、横稳性和纵稳性
2、初稳性和大倾角稳性
3、静稳性和动稳性
4、完整稳性和破舱稳性"
1261,船舶有哪几种平衡状态,"三种，稳定平衡、不稳定平衡、中性平衡
稳定平衡：重心G,点在稳心M点之下，复原力矩M的作用方向与倾侧力矩M的作用方向相反，当外力消失后，它能使船舶回复到原平衡状态。凡具有这种稳性的船舶相对于其原平衡位置而言是稳定的，所以称是稳定平衡。此时，GM和复原力矩M均为正值。
不稳定平衡：重心G,点在稳心M点之上，复原力矩M的作用方向与倾侧力矩M的作用方向一样，使船舶继续倾斜。凡具有这种稳性的船舶相对于其原平衡位置而言是稳定的，所以称是不稳定平衡。此时，GM和复原力矩M均为负值。
中性平衡：重心G,点在稳心M点重合，GM和复原力矩M均为O,外力消失后船舶不会回到平衡位置也不会继续倾斜。"
1262,什么是航速计算？,航速计算又称为快速性予报，有两种情况，一是达到船东要求的航速计算主机功率， 二是在船东选下的主机型号和功率情况下，计算能达到多大的航速。 在初步设计中，应用型船资料可用图谱或计算方法作粗略估计，适用于主机初步选 型或航速初估，较精确的快速性予报应通过船模试验得到。 平时统称的航速实际上有两种情况，一是试航速度，一是服务航速。
1263,什么是试航速度？,试航速度是指在轻载情况下（通常货船是在 20%载重量的情况下）主机发出最大的 持续功率 MCR，在风平浪静（一般在蒲氏风级 3 级以下）深水，新船时所达到的速度， 以节计（即每小时航行的海里数）
1264,什么是服务航速？,服务航速是指在主机发出常用功率 CSR（可以是 MCR 的 90%或 85%）且带有一定 的海上裕度（可以是 15%SM 或 10%SM）所达到的确良速度，以节(kn)计。
1265,船舶快速的优良性？,船舶快速性优良是指阻力低(PE↓)和推进因子高(QPC↑)这样所需的主机功率是最小 的，但往往 PE低的型线其 QPC 不一定最氏，要设计者平衡。
1266,静水力性能是什么？包括哪些要素,"静水力性能计算是船舶总体性能的最基本计算，是稳性计算的基础。目前均在型线 确定以后通过计算机计算出各项静水力要素数值，静水力主的要素如下： 
排水体积▽(m3 )及排水量△(t)； 
浮心纵向位置 LCB(m)（浮态计算有用）；
浮心垂向位置 KB(m)； 
横稳心垂向位置 KM(m)； 
水线面面积 AW(m2 )； 
每厘米纵倾力矩 MCT(t•m/cm)； 
漂心纵向位置 LCF(m)； 
每厘米尾纵倾排水量变化 Dzj(t/cm)； 
各船形系数：方形系数 CB=▽/LBd； 舯剖面系数 Cm=Am/Bd； 水线面系数 CW=Aw/LB； 棱形系数 Cp= CM"
1267,船舶的静水力性能资料包括哪几类？各自包含哪些参数和曲线？,"船舶的静水力性能资料包括：静水力曲线图、载重标尺、静水力参数表三种。
静水力曲线图包括：排水量曲线、型排水体积曲线、浮心距船中距离、浮心距基线高度、水线面面积、
浮心距船中距离、厘米吃水吨数、每厘米纵倾力矩曲线等。
载重标尺包括：船舶实际吃水、排水量、厘米吃水吨数、每厘米纵倾力矩、横稳心距基线高度等。
静水力参数表包括：排水量、厘米吃水吨数、每厘米纵倾力矩、横稳心距基线高度、浮心距基线高度、浮心距船中距离等"
1268,平均吃水的含义是什么？其大小受那些因数的影响？,"船舶处于实际纵横倾或者存在船体变形状况下船舶的排水体积与某吃水下船舶正浮且无船体变形状况下的船舶的排水体积相同时，则该吃水值就为船舶的平均吃水。
跟不同船舶的浮态对应的首尾和船中吃水以及吃水差有关，同时还和漂心距中距离有关。"
1269,载重线标志由哪几部分组成？,载重线标志的组成：1、国际航行的船舶的载重线标志：1)甲板线，2)载重线圈及水平横线，3)各载重线，4)冰极标志；
1270,勘划载重线标志的目的是什么？,目的：用以限制最大船中吃水和确保船舶最小干眩；
1271,船体强度的概念是什么？,船体强度是指为了保证船舶安全，船体结构必须具有的抵抗各种内外作用力不使之发生极度变形和破坏的能力。
1272,船体强度有那些分类？,分类：总强度和局强度；总强度又分为纵向强度，横向强度和扭转强度
1273,什么是快速性？,船舶快速性是指在给定主机功率下船舶的直线均速航行的性能。
1274,如何改善快速性？,为了提高船舶的快速性，一方面应尽力降低流体对船舶的阻力，另一方面测应尽可能提高船舶的推进系数。
1275,船舶阻力由哪几个部分组成？,阻力分为基本阻力和附加阻力两部分。
1276,基本阻力按其产生的原因不同，可分为哪三部分？,基本阻力按阻力产生原因不同可分为摩擦阻力；压差阻力，通常称为剩余阻力，根据其不同特点分为黏性压差阻力（涡流阻力），兴波压差阻力（兴波阻力）。
1277,什么是船舶的耐波性？,耐波性是船舶在风浪海况下的航行性能。船舶有6个自由度的运动，分别为纵荡，横荡，垂荡，横摇，纵摇，艏摇。
1278,船舶摇荡有哪几种形式？有何危害？,"船舶在海上激烈颠簸和摇摆，会使船舶稳性变坏，降低航速，甲板上浪，损坏船体结构。造成货损，
引起旅客头晕和影响船员工作等，严重时还会在波浪中谐摇，危及船舶安全。"
1279,何谓航向稳定性？,船舶航行中受到风、浪、流等极小的外界干扰作用，使其偏离原来运动状态。在外来干扰消失后，保持正舵的条件下，船舶能回到原来运动状态的能力。
1280,航向稳定性如何判别,"1)外力干扰消失后，在正舵条件下，如船舶最终能以一个新航向作直线运动，称直线稳定性；
2)外力消失后，在正舵条件下，如船舶最终能恢复到原航向上作直线运动，仅与原来运动轨迹存在一个偏量，称方向稳定性；
3)外力干扰消失后，在正舵条件下，如船舶最终能自行恢复到原来航线上，航向与原航向相同，且运动轨迹无偏离，称具有位置稳定性；4)外力干扰消失后，最终进入一个回转运动，称该船不具备航向稳定性。"
1281,为何低速船舶一般比较短粗，而高速船舶均瘦长？,对低速船（通常F<0.18的船）来说，摩擦阻力占总阻力比例很大，所以总阻力随船长的增加而增大，较短的船长可以获得较低的摩擦阻力，其最低阻力船长较短。高速船(F>0.3的船)因剩余阻力占总阻力的比例很大，所以总阻力随船长的增加而减小，较长的船长获得较低的剩余阻力，其最低阻力船长较长。基于上述原因，通常低速船都设计的短而肥，而高速船设计得较为瘦长。
